system:index,date,.geo
20250113T112141_20250115T082022,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T130311_20250115T051950,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T144441_20250115T081952,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T162611_20250115T084441,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T180741_20250115T102914,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T194911_20250115T155732,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T213041_20250115T140114,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113T231211_20250115T155810,2025-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T005342_20250115T165753,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T023512_20250115T184953,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T041642_20250115T202721,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T055812_20250115T221922,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T073942_20250115T235118,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T092112_20250116T014055,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T110242_20250116T032407,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T124412_20250116T081315,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T142542_20250116T062813,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T160712_20250116T082222,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T174843_20250116T101414,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T193013_20250116T114127,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T211143_20250116T135238,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114T225313_20250116T152838,2025-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T003443_20250116T163933,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T021613_20250117T090014,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T035743_20250116T200809,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T053913_20250116T220147,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T072044_20250116T233929,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T090214_20250117T012304,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T104344_20250117T030311,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T122514_20250117T045108,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T140644_20250117T061003,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T154814_20250117T080207,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T172944_20250117T095531,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T191114_20250117T112921,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T205245_20250117T130318,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115T223415_20250117T143938,2025-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T001545_20250117T161727,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T015715_20250117T175618,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T033845_20250117T195337,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T052015_20250117T213333,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T070145_20250118T084952,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T084315_20250118T005427,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T102446_20250118T024021,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T120616_20250118T043338,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T134746_20250118T055912,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T152916_20250118T073935,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T171046_20250118T093126,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T185216_20250118T110851,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T203346_20250118T124851,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T221516_20250118T140640,2025-01-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116T235647_20250118T160001,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T013817_20250118T174309,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T031947_20250118T193004,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T050117_20250118T211206,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T064247_20250118T225649,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T082417_20250119T003817,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T100547_20250119T022543,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T114718_20250119T040528,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T132848_20250119T054149,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T151018_20250119T071436,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T165148_20250119T090642,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T183318_20250119T104756,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T201448_20250119T122551,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T215618_20250120T023026,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117T233748_20250120T022840,2025-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T011918_20250120T022955,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T030049_20250119T190815,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T044219_20250120T023340,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T062349_20250119T223725,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T080519_20250120T001608,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T094649_20250120T020314,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T112819_20250120T041112,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T130949_20250120T081554,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T145120_20250120T084521,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T163250_20250120T084801,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T181420_20250120T103545,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T195550_20250120T120840,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118T213720_20250120T132824,2025-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
